Title,Summary
Snatched,"When a dangerous criminal from her past breaks out of prison, a former CIA agent must tap back into her lethal skills to protect her family."
Dancing Village: The Curse Begins,"The village still holds many mysteries. Piece by piece of mystery is revealed, including the terror of the most feared entity, namely, Badarawuhi."
Made in England: The Films of Powell and Pressburger,"Features rare archival material from the personal collections of Powell, Pressburger and Scorsese."
Living Large,A 12 year-old boy was bullied for his weight and he tries to turn things around by dieting and attempting to win over the girl of his dreams.
Kaulayaw,"Robb Guinto and Micaela Raz heat up the screen as college schoolmates who venture into the world of cybersex to support their needs. They fulfill their fans' sexual fantasy only to realized that they too, are falling for each other."
Anand Sreebala,"A common man's quest to unravel a law student's mysterious death leads him down a dark path, confronting secrets and his own demons in a high-stakes investigation."
Stress Positions,"Terry, in strict quarantine in his ex-husband's Brooklyn home, cares for his injured nephew, a 19-year-old Moroccan model named Bahlul, drawing attention from everyone in his life."
Sayuri,"A family moves into a house, but discover that it is haunted by a murdered girl."
Barbie & Kendra Crash Joe Bob's Drive-In Jamboree,"Barbie and Kendra race to save Joe Bob Briggs' drive-in from a land baron's plans for a golf course while professing their love for Joe Bob and his sidekick, hoping to catch a terrible movie in the process."
Sons of Rizk 3,"Four brothers engage in criminal acts but vow to go straight someday. After a deal unravels, the eldest sibling wants to quit crime, yet his defiant younger brothers make a risky deal with a notorious criminal overlord."
Warrior Awang and Master Tok Gajah,"In the late 19th century, a highly skilled Malay swordsman fights to protect two politicians with pivotal roles in the struggle against colonial rule."
Temurun,"As they try to come to terms with the loss they have experienced, will Dewi and Sena be able to face the mystery of the legacy passed down from their extended family?"
Babah,"As Isyak and his daughter Maya face the ups and downs of life, from losing a job to battling illness and the loss of hearing, their strong bond reveals the enduring power of love and family to carry them through the toughest times."
Blackout,"The streets of Pune, where a single night of darkness engulfs the city in mystery, as crime reporter Lenny, gets entangled in a web of greed and misfortune."
La pie voleuse,"Maria is no longer young and helps people who are even older than she is. Struggling to make ends meet, she refuses to accept her precarious situation and occasionally steals a few euros from the kind souls she cares for with extreme devotion--who, in return, adore her."
Nothing Even Matters,"Paroled after five years for a victimless crime, Travis is taken in by Benny, and her mother; their generosity turns into a life of crime and murder."
Scorched Earth,"Twelve years after he fled, career criminal Trojan returns to Berlin. A valuable painting is set to be stolen in the city. But the meticulously planned heist soon runs out of control."
Firecracker,"When a heist goes dramatically wrong, leaving a hostage in peril, an unlikely trio find themselves fighting for their lives and their sanity on bonfire night."
Color of Victory,"The days when Istanbul was occupied as a result of the Armistice of Mudros after the First World War and the Fenerbahce football team won the ""Harington Cup"""
Death's Sonata,The story of a man suffering from Schizophrenia and the psychotherapist who tries to find him with the help of his young Bi-Polar patient.
Taken from Rio Bravo,"In 1874 Texas, two friends and an Indian scout rescue kidnapped women from sadistic traffickers near the Mexican border."
Siddharth Roy,"Siddharth Roy Embraces logic and reason but is overwhelmed by emotions, resulting in heartache and inner turmoil."
Boy Kaldag,"A man famous for being well-endowed, drives women wild and sparks envy among other men. As his legend grows, Boy Kaldag plunges into a world of lust and chaos that comes with his special characteristic."
Crakk: Jeetega... Toh Jiyegaa,The journey of a man from the slums of Mumbai to the world of underground extreme sports.
The Final: Attack on Wembley,A dramatic England penalty defeat to Italy and chaos as thousands of un-ticketed fans attempted to storm Wembley Stadium.
Beauty and the Billionaire: Bali,Bali visit for business publicity turns sour as billionaire angers locals. Uncle's accident necessitates round-the-clock care from mistreated doctor. Tangled events jeopardize high-stakes negotiations.
Spirit in the Blood,"After a young girl is found dead in a secluded religious mountain community, a pack of teenage girls decide to fight against the evil spirits they believe killed her by embracing their own dark nature."
Adresi Olmayan Ev,
Fresh,"The clock is ticking for Kai. His psychotic brother has just been granted an early release from prison and by this afternoon, he'll come around to collect the money Kai has been holding for him. The problem - all the money's been spent."
Becoming Madonna,"Madonna's rise to fame from 1978 to 1992, exploring her personal life, controversies, and the challenges she faced during that period."
The Goat,"Forced to marry one of the elders in her Egyptian village, 12-year-old Hadiya escapes, traversing across the desert in search of her father, with her family goat, who soon begins talking to her with the voice of her late mother."
Federer: Twelve Final Days,Follows the last 12 days of the career of a tennis player considered the best ever as he plays his final tournament.
No Time to Spy: A Loud House Movie,"Lincoln and the Louds are ecstatic to welcome their new Gran-Gran, Myrtle, into the family with a tropical wedding celebration, but the festivities are cut short when an old nemesis from Myrtle's secret agent past appears on the island."
Sins of Ireland,"Through the prism of the confession box, which has its origins in Ireland, 'Sins of Ireland' is a portrait of an overlooked aspect of Ireland's past and how it impacted many parts of the world. Fifteen Irish priests, known for hearing the confessions of others, outline what the sacrament of confession was supposed to be and, while confessing the sins of the church, what it became."
They Whisper,"A young boy emerges from a coma after a fall down an abandoned mine shaft. His family is confronted by dark, threatening spirits and the possibility that the child in their home might no longer be their son."
Up the Catalogue,"An ambitiously small film set in a fictional shopping channel by the name of 4QTV. Tasked with flogging an endless cycle of questionable products, star presenter, Hailey Cartin, is starting to fear she might be trapped in live television."
The Antisocial Network: Memes to Mayhem,"A group of lonely teenagers formed an online community and bonded over their isolation, but their collective beliefs warped reality."
What Lurks Beneath,"The crew of USS Titan find themselves on the brink of WWIII with Russia when a naked stowaway appears in one of their torpedo tubes. Captain Banks fears she may be Russian, but she's something far more dangerous."
The Way We Speak,"An up-and-coming writer refuses to leave the spotlight when his best friend and debate opponent suffers cardiac arrest, leading to an obsession over his new opponent and a growing rift with his ailing wife."
Cocaine Werewolf,"Cocaine, Cash and a Crew filming a horror movie in the mysterious woods of northern Pennsylvania clash when an unexpected visit from a Werewolf literally enters the picture."
What We Wrote Together,"Mariano and Juan, a long-term couple, move from the city to start a plant nursery after Juan's writing career takes off. Their new rural life is interrupted by a visit from Juan's best friend bearing pivotal news."
Stormy,Behind the curtain with Stormy Daniels as she shares her story. The film follows her reinventing herself while grappling with events from 5 years earlier that made her an unlikely American icon.
RRR: Behind & Beyond,"Delves into the making of S.S. Rajamouli's epic RRR. Through behind-the-scenes footage and interviews, it unveils the vision, challenges, and dedication behind this cinematic marvel."
Sweet Release,"Two girl best friends and a young man take on a journey of self-discovery. Along the way, their bond deepens as they explore their sexual desires."
Strange Frequencies: Taiwan Killer Hospital,"A team of adventurous celebrities filming in Taiwan's infamous Xinglin Hospital, one of Southeast Asia's most haunted locations, quickly descends into terror as they encounter escalating paranormal phenomena. As tensions rise and personalities clash, they become pawns of a malevolent entity, forcing them to make difficult choices and sacrifices to survive the horrifying ordeal."
Z Zone,"A group of young delinquents, transferred to a remote military base for rehabilitation, find themselves caught in a web of secrets and battling sinister forces lurking in the shadows."
American Underdog,A man with a troubled past decides to turn his life around after a heroic act by training for a mixed martial arts tournament.
Matters of the Heart,"Follows a middle-class family who, on the surface, have a happy and perfect life. But behind the facade, the family is on the verge of disintegration due to the father's escalating alcohol consumption."
Fit for Murder,"Based on actual events, The lives of fitness celebrities Craig Titus and Kelly Ryan took a dark turn when they hired a young female assistant."
The Forbidden Camp: Mass Possession,"A group of students enjoying camping activities. Instead of being a fun moment, the atmosphere becomes tense when one by one they are possessed by evil forces."
Tacoma,Leo and Alejandra attempt to formulate a groundbreaking serum to help their loved ones while battling personal demons that threaten as well as drive their ambition.
Love Lies,An internet romance scam.
Almost Paradise,"Ugo Conti, charismatic Italian aristocrat and influencer, arrives in Mexico where he seduces the Mexican high society. When he meets Frida Becker again, the love of his past, he will end up in the center of a struggle for political power."
Alpha.,"Rein, snowboard teacher, works in the Alps. Receives a visit from his father Gijs from the Netherlands. The two venture into the snow-capped mountains where they clash both with each other and with the merciless nature that surrounds them."
Disaster Holiday,"Dad promises an exotic vacation but mistakenly books Durban instead of Zanzibar. Chaos ensues as the family's dream trip spirals into hilarity, while dad scrambles to secure a promotion."
Chapel,A man becomes a suspect in a serial murder case after waking from a coma with no recollection of who he is
The Candy Store,"Set in Chicago, where an old candy shop has been the center of a chilling mystery for over 30 years. Run by an older woman and her sinister son."
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,"A Historical Movie Trilogy available in Hindi/Marathi on the life of Chhatrapati Sambhaji Maharaj. Part 1 highlights the attack on Burhanpur, Rajyabhishek and the Navy battle of Janjira."
She Taught Love,"A guy, Frank, on a self-destructive path. A girl, Mali, with an expiration date. What a perfect time to meet and fall in love."
Ka Whawhai Tonu,"Set in New Zealand in 1864, follows the story of a crucial conflict of the nation's first land warfare, fought between Maori and colonial soldiers against insurmountable odds."
The Bad Guardian,A woman tries to save her father from a corrupt and greedy court-appointed guardian.
Love at 39 Degrees,"Fatih and Kumru, a lawyer from different cities, team up for a case involving a cheating spouse. They spend 8 hours racing around Izmir gathering evidence, unexpectedly altering their plans and lives."
Celal'in Treni,
Hunting Matthew Nichols,"Twenty-three years after her brother vanished, a filmmaker investigates his disappearance. Uncovering evidence, she suspects he may still be alive, fueling her quest to unravel the mystery."
Holy Electricity,"Two cousins discover abandoned crosses in a Tbilisi scrapyard and transform them into neon art, leading to unexpected friendships as they sell their creations door-to-door across the Georgian capital."
Teach Her,"A business student, also required to study ""Hamlet"", finds himself in a Shakespearean situation of his own when he falls for the daughter of his father's ex-mistress."
Diva Futura,"In 1980s-1990s Italy, Riccardo Schicchi's agency Diva Futura turns free love into porn, making stars of Ilona Staller, Moana Pozzi and others. Their fame leads to Cicciolina's election and Pozzi's mayoral run."
Freediver,"Chronicles Alexey Molchanov's daring attempt to set multiple freediving world records in 2023, paying tribute to his late mother while confronting adversity and testing the boundaries of human endurance in this extreme sport."
Tendaberry,"As her boyfriend returns to Ukraine to care for his ailing father, 23-year-old Dakota faces the challenges of a precarious new reality, navigating the complexities of survival in New York City on her own."
Agent of Happiness,"Amber, a happiness agent, travels the Bhutanese Himalayas surveying people's happiness. On his remote mountain journey, he searches for fulfillment."
Giannis: The Marvelous Journey,"The story of Giannis Antetokounmpo, global NBA superstar, from the streets of Athens to becoming an NBA champion and two-time league MVP."
E.1027 - Eileen Gray and the House by the Sea,"E.1027 is a cinematic journey into the mind of Eileen Gray. A story about the power of female expression, and men's desire to control it."
On the Run,Two teen sisters learn about their family's involvement with a secret program and go on the run to escape the deadly criminals targeting their family.
Altered Reality,"Oliver's life transforms when gifted a not-yet-existing miracle drug. Riches, unscrupulous pacts, and morphing of past and present create this 'Altered Reality, ' a gripping tale of redemption and choices."
Rautu Ka Raaz,"After the mysterious death of a warden of Sevadham school, it is up to inspector Negi who suffers from PTSD to solve the high-profile investigation which leads him to disturbing facts."
Salve Maria,"Maria, a new mother and writer, is transfixed by the disturbing case of a woman who drowned her infant twins, prompting her own journey through the complexities of motherhood."
The Unofficial Science of Die Hard,"Chris Ramsey and Paul Chowdhry set out to scientifically assess stunts from the Christmas action film, including rooftop escapes and walking over shattered glass."
Drinker Sai,"Heartbroken and spiraling into alcoholism, a jilted lover desperately pursues his former muse, unwilling to accept their relationship's end."
Agak Laen,"An old man dies in a failing haunted house ride. The operators bury his body on site, turning it into a popular attraction."
Escanyapobres,"Late 1800s. The arrival of the railroad to an isolated town brings the long-awaited progress, but also Oleguer, a dark loan shark with shady dealings. When he seizes and stays at Cileta and her family's farmhouse, the young peasant will do anything possible to get her house back. Even if that means following in the dark footsteps of the money-lender."
Movie Given Hiiragi Mix.,Hiiragi Mix takes place after the events of the Eiga Given and is mainly focused on the relationship between Mafuyu's childhood friends Hiiragi Kashima and Shizusumi Yagi.
Vitalik: An Ethereum Story,"A teenage coding prodigy becomes the face of crypto revolution after creating Ethereum. As his platform reshapes global finance, he navigates industry chaos, power struggles, and a massive tech transformation."
Head South,"In 1979, Angus, with his father's support, discovers the underground post-punk music scene in Christchurch, New Zealand, overcoming self-doubt, derision, and a family tragedy to perform."
The Heartbreak Agency,Who is lovesick these days? A young journalist wants to expose the charming founder of a lovesick agency as a fake and embarks on a search for his own lost ability to love.
Funny Birds,"Thrown together under tragic circumstances, three generations of women from the same family are forced to learn to live together on a small rural chicken farm in New Jersey, which generates moving and amusing situations."
Borderless Fog,A detective is forced to confront the ghosts of her past while investigating a mysterious serial murder case along the Indonesia-Malaysia border.
Here's Yianni!,"A wife's strength is tested when her husband, a Greek diner owner whose mind and memory is failing, imagines himself as a late night talk show host."
Kotee,"In corrupt Janatha city, honest Kotee defies gang leader Dinoo Saavkaar to secure future for sister. But defiance leads to debts, forcing life-altering choice: eliminate or be eliminated."
Suspended Time,"During COVID-19 lockdown in 2020, two married couples quarantine together in a country house, leading to rising tensions and revelations about their relationships."
Stealing Pulp Fiction,"It follows Jonathan, Elizabeth and Steve as they try to steal Quentin Tarantino's personal print of Pulp Fiction (1994)."
"Hello, Love, Again","After fighting for their love to conquer the time, distance and a global shutdown that kept them apart, Joy and Ethan meet again in Canada but realize that they have also changed a lot, individually."
Umjolo: The Gone Girl,Follows four women whose love lives intersect at a Valentine's Day wedding none of them will soon forget.
Messy,"Messy follows the life of brutally self-aware, promiscuous, love addict Stella Fox, who moves to New York after a devastating breakup, and all her disappointing romantic dalliances over the course of a summer."
God & Country,"Looks at the implications of Christian Nationalism and how it distorts not only the constitutional republic, but Christianity itself."
Mor Chhainha Bhuinya 2,"Two brothers Uday and Kartik grow up together in Chhattisgarh with differences in their ideologies but with love for each other in their hearts. One day, they find themselves against each other. What will win, their love or their ideology?"
Abraham Ozler,"Revolves around the personal and professional lives of veteran cop Abraham Ozler, ACP Trichur, who at one time has to take up a serial killing case and the mysterious hunt begins."
Beacon,"An ambitious solo trip leads to a young sailor's shipwreck on a remote island, where she's rescued by the lone inhabitant, a lighthouse keeper. As reality twists and their trust fractures, survival becomes a grueling trial."
Kvitebjørn,"The Polar Bear Prince is a modern and magnificent animated feature film based on one of Norway's most beloved fairytales. It's a story of love, greed and courage, set in the beautiful Norwegian scenery and packed with suspense, humour and music."
Spring Garden,"The story about So-hee who lost her happy family due to her husband's sudden death, and experiences strange and creepy things after visiting Neulbom Garden, a rural mansion left by her husband."
The Ark and the Darkness,"Noah's Ark withstands a global flood, corroborated by scientific evidence across disciplines. A team exposes the truth behind this ancient tale found in cultures worldwide, confirming the Biblical account."
Acma: Game - The Final Key,"Terutomo, whose father was killed by the mysterious organization Gungnir, continues his journey to collect the 99 ""Devil's Keys"" using the words his father left behind as clues in order to destroy them all. A mysterious brother and sister appear before Terutomo and become his new enemies. The brother and sister run a religious organization, and the sister has the power to read people's minds. And the 99th key is held by his father's enemy, Houshin. Terutomo takes on the new ACMA:GAME with his best friends Hajime and Yuki, as well as his new allies Sen'ya and Murasaki. In ""Five Spell Survival,"" players choose their favorite ability with five letters and shoot the opponent's target. In ""Down True or False,"" players ride a car loaded with explosives. In ""The Gladiator,"" a survival game set in the deepest part of an ancient ruin, the birthplace of the ""Devil's Key,"" the game develops into a final battle for the survival of humanity."
Stupid Games,A girl's discreet attempt to assess her one night stand and his friends takes a deadly turn when she and her roommates host a dinner party where they unknowingly unleash a malevolent force.
The Other Side,"A forty-year-old poet wakes up handcuffed to a hospital bed. Accused of his mother's murder, he claims it was an act of love: a plan to aid his mother's death and end his own life at the same time."
Pin/Ya,"A strong childhood bond between two girls grows into something more. As they explore their bodies, Pin and Aya soon learn that their feelings for each other are beyond friendship. With their friendship at stake, will they risk it all?"
Memory Lane,"A bitter-aged man reluctantly drives to Spain to pay a last visit to a dying friend, along with his wife who's suffering from dementia. But as their journey unfolds, he slowly starts to soften up and rediscovers the meaning of love."
DIG! XX,"Two rock bands, The Dandy Warhols and The Brian Jonestown Massacre, navigate fame, friendship, and fierce rivalry in a raw journey through the music industry. The 20th anniversary cut adds fresh footage and new perspectives."
Surveilled,"Uncovers the insidious ways in which our daily lives are being surveilled by the state. In a gripping chase, Ronan Farrow travels across the world following breadcrumbs and finally exposing a dark world."
Harley Flanagan: Wired for Chaos,"From a tumultuous Bronx upbringing, the movie chronicles Harley Flanagan's rise to punk stardom at 13, featuring raw NYC footage and interviews with icons like Flea and Ice-T, depicting his transformative journey."
The Shamrock Spitfire,"The story of Irish fighter pilot Brendan ""Paddy"" Finucane, who at the age of just 21, became the youngest ever wing commander in the Royal Air Force, and one of its greatest and most celebrated fighter aces during World War II."
Malu,"Malu, a 50-year-old unemployed actress living off memories of her glorious past, shares a run-down home in a Rio de Janeiro slum with her conservative mother, whilst also dealing with a troubled relationship with her own daughter."
Troubleshooters,"Two friends from Tirana attempt to solve a murder mystery at a Durrës resort while masquerading as wealthy men, encountering love interests, criminals, and self-doubt along the way as they navigate their first case as private detectives."
Drive Back Home,"In 1970, a gruff New Brunswick plumber travels to Toronto to bail out his estranged gay brother jailed for public indecency. Reluctantly driving home together per their mother's wish, their tense reunion tests their sibling bond."
At the Bench,A bench at a riverside park is host to a variety of people and their daily lives.
Christmas Slasher,"Murderous zombie reindeer Slasher and psychotic Mr. and Mrs. Claus terrorize friends vacationing in a cabin, targeting Alita Claus and her group during Christmas break. Alita must save her friends from the holiday horrors."
Diciannove,"A curious student embarks on a journey of self-discovery, learning that the path, no matter how unfamiliar or daunting, is worthwhile."
Assassin's Guild,"After the Mermaid Wars, Iliad's city is attacked by dark forces. With the city full of rancor and corruption, Death herself forms an alliance and offers Atticus, an elite fighter, the chance to return to life. This gift comes at a price."
Protocol-7,"With the catastrophic regression of her adopted son, Lexi, a small-town lawyer, is confronted with the reality of corporate fraud at the highest level. Will she hold a massive corporation accountable in this true whistleblower story?"
The Smile Man,"A Cop with Alzheimer's disease, set to solve the case of a serial killer on the run,before he loses his memory."
Candidatul perfect,"Costica, an aimless man, runs for president inadvertently backed by a corrupt party planning to lose and continue embezzling funds, all while he naively seeks to secure his neighbor's parking spot."
Dilemma,"In the midst of global pandemic, a trending voice chat platform becomes a lifeline for a group of friends seeking connection and solace. Their lives take an unexpected turn overnight when a mysterious stranger enters their chat room."
Seeking Haven for Mr. Rambo,"On a quest to save Rambo, his dog and best friend; Hassan is forced to confront the fears of his past and rediscovers himself."
I Heart Robots,"Years after a robot apocalypse, Terra ventures away from her secluded compound to take her lovable robot companion West to save what's left of a dying world."
The Lost Girl,"""The Lost Girl"" follows 5-year-old Suhani separated during the 1984 Sikh riots, surviving 15 years with strangers. Memories haunt her until she escapes, embarking on a journey to find her true identity and family."
Concerto for Abigail,A pianist confronts progressive hearing loss as she falls for someone new. She must decide whether to shut herself off or let her love in and face the challenge together
Successor,"Ma Chenggang and Chunlan, who have ""no oil in their soup and no money in their pockets"", ride a donkey to work and have a poor family. Their son Ma Jiye is the only hope who can change their fate."
Dalia y el Libro Rojo,"Dalia, the daughter of a famous writer who recently passed away, inherits the mission of finishing her father's novel. To do so, she must become part of the story and face its characters, all fighting to be the protagonist of the book."
Bang Bang,"Tim Blake Nelson stars as 'Bang Bang' Rozyski, an eccentric retired pugilist obsessed with rectifying the sins of his past."
The Lady of the Lake,"A grief-stricken Native American woman investigates the legend of the Lady of the Lake, determined to unravel its mysteries after her brother's tragic demise."
Six Days in August,"The Prophet Joseph Smith is dead, killed by a mob. Enemies of the LDS Church think the church will die with Joseph. In fact that danger is a real possibility. The crisis is undeniable, and the saints in Nauvoo are in chaos."
She's Got No Name,"A bizarre case caused thousands of waves. There are different opinions on the truth. When the whole story of the case was gradually restored like pieces of a puzzle, people realized that the truth was not that important anymore."
Beautiful Rebel,"The origin story of one of Italy's greatest rock stars, Gianna Nannini, who chased her dream despite obstacles from her family and the music industry."
Simon of the Mountain,"Seeking change, 21-year-old Simon finds purpose by befriending two disabled children who teach him to embrace life's joys. Together, they navigate a world not designed for them, inventing their own rules for love and happiness."
Lady Guard,Warehouse security guard Estelle allows illegal gambling for bribes. New recruit Meryl's arrival threatens Estelle's position and benefits from overlooking the illicit activities.
The Glory of Life,The last year in Franz Kafka's life and its surprising love story.
Finding Tony,"When a depressed, widowed NBA star loses everything, he reluctantly begins coaching a junior college women's basketball team, where he meets an orphaned basketball phenom who will change his life forever."
Nunakuzhi,A young man caught in a web of lies and mistaken identities.
Hack Your Health: The Secrets of Your Gut,An informative yet lighthearted documentary exploring the intricacies of the digestive system and its pivotal role in maintaining overall health and well-being.
How Could I Live Without You?,"Lili reads her mother Eszter's diary and love letters, revealing Eszter's summer romance with Geri, a musician, at Lake Balaton in the 1990s, defying her commitment to her boyfriend, impacting their lives and Lili's."
Tees,"Spanning across 90 years, follow a middle-class Muslim family across three generations."
Saturn Return,"Late 1990s. Art and culture are in full swing in Granada. Against that background, an indie band is about to change the music scene in Spain. Just before creating their new album, the band is going through its worst possible moment."
The Charisma Killers,"When the old mentor of 7 killers finds out he has terminal cancer, he gives them all an opportunity at his fortune to prove themselves for one night only to exact revenge."
K-Pops!,"Follows a washed-up musician who jumps at the chance to capitalize on his long-lost son's stardom for his own renaissance, but learns that fatherhood is much more than stardom."
Yudhra,"A young man consumed by vengeance, Yudhra infiltrates a ruthless cartel to avenge his murdered parents, only to discover a dark truth about his past that will test his limits."
Down the Rabbit Hole,"Raised in opulence and culture, 10-year-old Tochtli's lavish life contrasts with the darkness that seeps in from his father's criminal activities."
Father There is Only One 4,
Erdal and Ece,The story of a married couple who experience funny conflicts in their relationship.
Maharot,"Tantan is a small-town young man, falls for Joni, a free-spirited woman who sells herself yet teaches him about love. As their bond deepens, will their love defy life's twists?"
Ballot,A teacher pays an increasingly steep price for defending the democratic process of the election.
Gladiators,"When a once great gladiator's betrothed is murdered, he vows to hunt down the killer. But when he discovers the murderer is no stranger, the gladiator must enter the Colosseum once more to avenge his bride."
Road to Terzetto,Three brothers that never met each other are getting an inheritance from their estranged father. On the journey to their inheritance things aren't always what they seem.
Crossroads,Follow a group of friends as they navigate the obstacles of adulthood.
Forgive Me Father,"When a number of mutilated bodies are discovered in a mansion, seasoned Detective Taylor is charged with finding the killer. An unlikely suspect reveals that some secrets are taken to the grave and some secrets take us to the grave"
The Holiday List,"A woman sets out a well-intentioned plan of bringing her dysfunctional family together in the wake of the family's matriarch, her mother-in-law."
Replicator,"A young public defender investigates the sudden moral transformation of a small town's criminals, uncovering sinister supernatural forces and a harrowing path to redemption."
Orang Ikan,"Set in the Pacific, 1942. A Japanese soldier and a British prisoner of war are stranded on a deserted island, hunted by a deadly creature. Two mortal enemies must come together to survive the unknown."
The Primrose Railway Children,"Phoebe, Becks, Perry, and their mother unexpectedly leave their comfortable Glasgow life and relocate to the remote Scottish Highlands."
John Cranko,"Joachim Lang's biopic about the brilliant dancer and choreographer John Cranko, who left the Royal Ballet in London and found fame in Stuttgart as its great dance creator."
Swag,Follows the swaganika bloodline which changes the matriarchal society to patriarchal society.
UI,UI transcends language barriers as it addresses a global issue.
Curse of the Naked Ghost Hunters,"A grieving granddaughter discovers trespassers have stolen a mystical family heirloom. Their plans to create paranormal TV content backfire when dark forces emerge, leading to brutal supernatural vengeance."
"Men Are from QC, Women Are from Alabang","Two lovers navigate post-graduation life, facing challenges of long-distance relationship and career demands. Their perspectives on shared experiences diverge as physical and emotional distance grows, straining their bond over time."
Bocchi the Rock! Recap Part 1,"Introverted girl, skilled guitarist 'Guitar Hero', dreams of school band. Unable to make friends until high school when drummer contacts her, altering her solitary life."
Arsa,"Eighteen-year-old Arsa lives at the edge of the world. The island she loves and has always lived on is a natural reserve, and her job is to collect the trash that the sea has washed up. Inspired by her father's sculptures, Arsa remodels the objects that she finds, giving them a new life. Her days pass in a time suspended between her universe of monsters and statues lost on the seabed, and humanity that she stares at from afar. When Andrea and his friends arrive on the island and invade her territory, the spell is broken."
Je Jatt Vigarh Gya,"Follows the story of Daler (Jayy Randhawa), a straightforward and a fierce individual whose life takes a drastic turn due to unforeseen personal circumstances. Faced with injustice and unnatural behavior, Guri's transformation from a law-abiding kid to a relentless avenger forms the crux of the narrative."
Alterlove,"Paris, Present day. On a fleeting night, two strangers embark on a spontaneous romantic adventure that challenges their views on love and connection, blending humor and heartfelt moments in a unique exploration of modern relationships."
The Yorkie Werewolf,A rebellious teen witch is turned into a tiny werewolf and thrown into the middle of a decades-old war between one small town's creatures of the night - and the local mafia.
Lethally Blonde,Michelle's past secrets resurface with lethal consequences when her daughter joins the same sorority she once belonged to in college.
Spiders on a Plane,"A group of four friends takes on a plane full of deadly venomous spiders, accidentally released by a mad Russian scientist attacking all on-board the 747 flight from the UK to Colombia."
The Moon Thieves,Two young men become involved in a complicated crime involving antique watches.
Deaner '89,"A hilarious headbanger finally makes it after struggling for decades, revealing it was all because of a childhood incident when the dark forces of heavy metal reached out from the grave."
My Everything,"Follows Mona, a woman in her 60's who is at a point in her life where she wants to start caring for herself. But when her disabled son is unexpectedly having a baby, she has another responsibility to deal with."
A '90s Christmas,"While celebrating her promotion alone on Christmas Eve, a workaholic lawyer is transported back to 1999 via a mysterious rideshare experience."
Bermondsey Tales: Fall of the Roman Empire,"A gritty comedy-drama based on real events. Bermondsey Tales: Fall Of The Roman Empire tells the story of South London crime family The Roman's as infighting, cozzers and rival firms put everything they have worked for at risk."
Silent Bite,"A gang of bank robbers take shelter in a motel after a Christmas Eve bank heist, unbeknownst to them they are not the most dangerous thing seeking refuge on this cold Christmas night."
Nyctophobia,"As Liz struggles with nyctophobia (fear of the dark), an anxiety disorder that disrupts her sleep, she desperately tries to fall asleep."
From Russia with Lev,"A documentary exploring Lev Parnas' involvement in the Trump-Ukraine scandal that resulted in the former president's impeachment, detailing Parnas' unexpected entanglement with Trump and Giuliani, leading to his incarceration."
Tim Travers & the Time Travelers Paradox,What happens if you travel back in time and eliminate your younger self? Terminally bored mad genius Tim Travers seeks to find the answer and unravel the time traveler's paradox. The Result? A crazy comedic adventure beyond comprehension.
Stranger Eyes,"A man obsessively searches for his missing daughter after receiving disturbing videos exposing his secrets, leading to a chilling confrontation with the voyeur."
Break,"Eli learns that his absent father was a Detroit pool hall legend. He journeys into the scene, and must confront the realities and danger of the game - and himself."
Barroz: Guardian of Treasures,"For 400 years, Barroz, a loyal servant, has guarded da Gama's treasure. Bound by a centuries-old magic, he awaits the arrival of a true descendant worthy of claiming it."
Rajkumar,"A young man from rural Bangladesh travels to the US in search of his lost mother. Facing immigration struggles, cultural shocks, and his journey takes unexpected turns, leaving a profound impact that changes his life forever."
Love Story,Tells the love story of a model and a director.
He Loves Me Not,"An aspiring actress chosen as a wild card for a reality TV dating show uses a secret elixir to win the heart of the star, but when her deception is revealed, she discovers a messy but real chance for love."
The World According to Kaleb: On Tour,"Kaleb Cooper, on his UK tour shares insights on farming, Clarkson, tractors, and his disdain for sheep. Features a celebrity tractor race and a singalong finale at Cheltenham's Everyman Theatre."
Mustafar Takes Los Angeles: A Live Staged Reading of Star Wars: Episode III,"The Clone Wars climax as Anakin Skywalker, Obi-Wan Kenobi battle General Grievous, Count Dooku. Yoda, other Jedi face Darth Sidious while a sinister force looms, shaping Anakin's destiny."
Now or Never!,"On March 15, 1848, a young firebrand poet, Sándor Petöfi ignites the Hungarian Revolution with his passionate 'National Song', prompting the Austrians to dispatch a ruthless secret agent to assassinate him and suppress the uprising."
My Melbourne,"The film presents an authentic anthology exploring race, gender, sexuality, and disability through diverse stories by emerging Australian filmmakers."
"María, Me Muero","Maria's hypochondriac husband believes every cold is terminal. After enduring his antics, Maria takes matters into her own hands to address his irrational fear of death."
Like a Rolling Stone,"At the age of 50, Li Hong finally made up her mind to leave. She took a brave step and started a self-driving tour to live her own life."
Dead Teenagers,"Five teens stalked by a killer in the woods face a twist when he dies accidentally. Now trapped in a horror movie plot, they must complete the script to escape."
Who by Fire,"Seventeen-year-old Jeff stays at film director Blake Cadieux's wilderness lodge after being invited by friend Max's family. When strange events occur, Jeff suspects something is amiss with the director and his retreat."
The Wingwalker,"A young widower is deported as his daughter is scheduled for a heart transplant, this will lead him to orchestrate the boldest border crossing plan in history."
Nu Huo 12 Xiao Shi,"Many years after retiring from the army, special forces soldier Lei Jun brought his family to the chaotic Philippines to make a living, but he accidentally lost his wife and daughter in a riot."
